entry_id,transaction_id,posting_date,account_id,debit,credit,currency,voucher_id,source_system,source_id,entry_sequence,description
2026-02-22T000314Z-rdgwmn-e1,2026-02-22T000314Z-rdgwmn,2024-01-01,1910,1500.00,0.00,EUR,opening:2024-01-01:synthetic:1,default,opening:2024-01-01:synthetic:1,1,Synthetic opening balance
2026-02-22T000314Z-rdgwmn-e2,2026-02-22T000314Z-rdgwmn,2024-01-01,2200,0.00,1500.00,EUR,opening:2024-01-01:synthetic:1,default,opening:2024-01-01:synthetic:1,2,Synthetic opening balance
2026-02-22T000314Z-rl9kwg-e1,2026-02-22T000314Z-rl9kwg,2024-01-15,1910,125.50,0.00,EUR,bank_row:synth-b-001:journal:1,default,bank_row:synth-b-001:journal:1,1,Synthetic sales receipt S-9001
2026-02-22T000314Z-rl9kwg-e2,2026-02-22T000314Z-rl9kwg,2024-01-15,3000,0.00,100.00,EUR,bank_row:synth-b-001:journal:1,default,bank_row:synth-b-001:journal:1,2,Synthetic sales receipt S-9001
2026-02-22T000314Z-rl9kwg-e3,2026-02-22T000314Z-rl9kwg,2024-01-15,2931,0.00,25.50,EUR,bank_row:synth-b-001:journal:1,default,bank_row:synth-b-001:journal:1,3,Synthetic sales receipt S-9001
2026-02-22T000314Z-s5frun-e1,2026-02-22T000314Z-s5frun,2024-01-22,4000,40.00,0.00,EUR,bank_row:synth-b-002:journal:1,default,bank_row:synth-b-002:journal:1,1,Synthetic purchase payment P-9101
2026-02-22T000314Z-s5frun-e2,2026-02-22T000314Z-s5frun,2024-01-22,1763,10.20,0.00,EUR,bank_row:synth-b-002:journal:1,default,bank_row:synth-b-002:journal:1,2,Synthetic purchase payment P-9101
2026-02-22T000314Z-s5frun-e3,2026-02-22T000314Z-s5frun,2024-01-22,1910,0.00,50.20,EUR,bank_row:synth-b-002:journal:1,default,bank_row:synth-b-002:journal:1,3,Synthetic purchase payment P-9101
2026-02-22T000314Z-yh0pro-e1,2026-02-22T000314Z-yh0pro,2024-01-26,1998,150.00,0.00,EUR,bank_row:synth-b-040:journal:1,default,bank_row:synth-b-040:journal:1,1,Synthetic monthly internal transfer out to Holvi
2026-02-22T000314Z-yh0pro-e2,2026-02-22T000314Z-yh0pro,2024-01-26,1910,0.00,150.00,EUR,bank_row:synth-b-040:journal:1,default,bank_row:synth-b-040:journal:1,2,Synthetic monthly internal transfer out to Holvi
